run_id,captured_at,site,tier,type,items,min_id,max_id,id_span,observed_fraction,reason
20260814T070203+0000,2026-08-14T07:02:03+00:00,tg-zvezda,origin,telegram,14,25765,25785,21,0.6667,
20260814T070234+0000,2026-08-14T07:02:34+00:00,pravda-hu,launderer,pravda,26,44503,44530,28,0.9286,
20260814T070234+0000,2026-08-14T07:02:34+00:00,rt-ru,outlet,cards,26,,,,,
20260814T070234+0000,2026-08-14T07:02:34+00:00,ukraina-ru,outlet,cards,26,,,,,
20260814T070234+0000,2026-08-14T07:02:34+00:00,zvezda-tv,outlet,cards,13,,,,,
20260814T070234+0000,2026-08-14T07:02:34+00:00,tsargrad,outlet,cards,5,,,,,
20260814T070234+0000,2026-08-14T07:02:34+00:00,newsfront-ru,outlet,newsfront,26,,,,,
20260814T070234+0000,2026-08-14T07:02:34+00:00,newsfront-hu,outlet,newsfront,26,,,,,
20260814T070234+0000,2026-08-14T07:02:34+00:00,tg-oroszigazsag,origin,telegram,18,264285,264306,22,0.8182,
20260814T070234+0000,2026-08-14T07:02:34+00:00,tg-greatawaken,origin,telegram,10,154887,154905,19,0.5263,
20260814T070234+0000,2026-08-14T07:02:34+00:00,tg-ebredes,origin,telegram,18,138901,138920,20,0.9,
20260814T070234+0000,2026-08-14T07:02:34+00:00,tg-rybar,origin,telegram,10,7281,7300,20,0.5,
20260814T070234+0000,2026-08-14T07:02:34+00:00,tg-oroszkatonai,origin,telegram,9,42331,42350,20,0.45,
20260814T070234+0000,2026-08-14T07:02:34+00:00,tg-infodef,origin,telegram,15,13981,14000,20,0.75,
20260814T070234+0000,2026-08-14T07:02:34+00:00,tg-vilaghelyzete,origin,telegram,17,13936,13955,20,0.85,
20260814T070234+0000,2026-08-14T07:02:34+00:00,tg-baltnews,origin,telegram,18,73262,73281,20,0.9,
20260814T070234+0000,2026-08-14T07:02:34+00:00,tg-lomovka,origin,telegram,16,140018,140037,20,0.8,
20260814T070234+0000,2026-08-14T07:02:34+00:00,tg-zvezda,origin,telegram,14,25765,25785,21,0.6667,
20260814T094505+0000,2026-08-14T09:45:05+00:00,pravda-hu,launderer,pravda,26,44507,44533,27,0.963,
20260814T094505+0000,2026-08-14T09:45:05+00:00,rt-ru,outlet,cards,26,,,,,
20260814T094505+0000,2026-08-14T09:45:05+00:00,ukraina-ru,outlet,cards,26,,,,,
20260814T094505+0000,2026-08-14T09:45:05+00:00,zvezda-tv,outlet,cards,22,,,,,
20260814T094505+0000,2026-08-14T09:45:05+00:00,tsargrad,outlet,cards,6,,,,,
20260814T094505+0000,2026-08-14T09:45:05+00:00,newsfront-ru,outlet,newsfront,26,,,,,
20260814T094505+0000,2026-08-14T09:45:05+00:00,newsfront-hu,outlet,newsfront,26,,,,,
20260814T094505+0000,2026-08-14T09:45:05+00:00,tg-oroszigazsag,origin,telegram,19,264290,264311,22,0.8636,
20260814T094505+0000,2026-08-14T09:45:05+00:00,tg-greatawaken,origin,telegram,10,154887,154905,19,0.5263,
20260814T094505+0000,2026-08-14T09:45:05+00:00,tg-ebredes,origin,telegram,18,138901,138920,20,0.9,
20260814T094505+0000,2026-08-14T09:45:05+00:00,tg-rybar,origin,telegram,10,7281,7300,20,0.5,
20260814T094505+0000,2026-08-14T09:45:05+00:00,tg-oroszkatonai,origin,telegram,10,42333,42352,20,0.5,
20260814T094505+0000,2026-08-14T09:45:05+00:00,tg-infodef,origin,telegram,15,13982,14001,20,0.75,
20260814T094505+0000,2026-08-14T09:45:05+00:00,tg-vilaghelyzete,origin,telegram,17,13937,13957,21,0.8095,
20260814T094505+0000,2026-08-14T09:45:05+00:00,tg-baltnews,origin,telegram,18,73268,73288,21,0.8571,
20260814T094505+0000,2026-08-14T09:45:05+00:00,tg-lomovka,origin,telegram,15,140028,140047,20,0.75,
20260814T094505+0000,2026-08-14T09:45:05+00:00,tg-zvezda,origin,telegram,14,25765,25785,21,0.6667,
20260814T104602+0000,2026-08-14T10:46:02+00:00,pravda-hu,launderer,pravda,26,44508,44534,27,0.963,
20260814T104602+0000,2026-08-14T10:46:02+00:00,rt-ru,outlet,cards,26,,,,,
20260814T104602+0000,2026-08-14T10:46:02+00:00,ukraina-ru,outlet,cards,26,,,,,
20260814T104602+0000,2026-08-14T10:46:02+00:00,zvezda-tv,outlet,cards,26,,,,,
20260814T104602+0000,2026-08-14T10:46:02+00:00,tsargrad,outlet,cards,6,,,,,
20260814T104602+0000,2026-08-14T10:46:02+00:00,newsfront-ru,outlet,newsfront,26,,,,,
20260814T104602+0000,2026-08-14T10:46:02+00:00,newsfront-hu,outlet,newsfront,26,,,,,
20260814T104602+0000,2026-08-14T10:46:02+00:00,tg-oroszigazsag,origin,telegram,19,264293,264314,22,0.8636,
20260814T104602+0000,2026-08-14T10:46:02+00:00,tg-greatawaken,origin,telegram,10,154887,154905,19,0.5263,
20260814T104602+0000,2026-08-14T10:46:02+00:00,tg-ebredes,origin,telegram,18,138901,138920,20,0.9,
20260814T104602+0000,2026-08-14T10:46:02+00:00,tg-rybar,origin,telegram,10,7281,7300,20,0.5,
20260814T104602+0000,2026-08-14T10:46:02+00:00,tg-oroszkatonai,origin,telegram,10,42333,42352,20,0.5,
20260814T104602+0000,2026-08-14T10:46:02+00:00,tg-infodef,origin,telegram,15,13983,14002,20,0.75,
20260814T104602+0000,2026-08-14T10:46:02+00:00,tg-vilaghelyzete,origin,telegram,17,13938,13958,21,0.8095,
20260814T104602+0000,2026-08-14T10:46:02+00:00,tg-baltnews,origin,telegram,18,73270,73290,21,0.8571,
20260814T104602+0000,2026-08-14T10:46:02+00:00,tg-lomovka,origin,telegram,16,140030,140049,20,0.8,
20260814T104602+0000,2026-08-14T10:46:02+00:00,tg-zvezda,origin,telegram,14,25765,25785,21,0.6667,
