mirror,date,source,source_type,credits,relationship
a,2025-07-01,Telegram: leblorikzov,telegram,79,credited-by-mirror
a,2025-07-01,Telegram: lomovkaa,telegram,56,credited-by-mirror
a,2025-07-01,Telegram: oroszokazigazsagoldalan,telegram,193,credited-by-mirror
a,2025-07-01,Telegram: ostashkonews,telegram,10,credited-by-mirror
a,2025-07-01,Telegram: rusputnikmd,telegram,60,credited-by-mirror
a,2025-07-01,kp.ru,domain,10,credited-by-mirror
a,2025-07-01,lenta.ru,domain,17,credited-by-mirror
a,2025-07-01,ria.ru,domain,25,credited-by-mirror
a,2025-07-01,russian.rt.com,domain,7,credited-by-mirror
a,2025-07-01,tass.ru,domain,36,credited-by-mirror
a,2025-07-02,Telegram: leblorikzov,telegram,69,credited-by-mirror
a,2025-07-02,Telegram: lomovkaa,telegram,50,credited-by-mirror
a,2025-07-02,Telegram: oroszokazigazsagoldalan,telegram,161,credited-by-mirror
a,2025-07-02,Telegram: ostashkonews,telegram,14,credited-by-mirror
a,2025-07-02,Telegram: rusputnikmd,telegram,68,credited-by-mirror
a,2025-07-02,kp.ru,domain,8,credited-by-mirror
a,2025-07-02,lenta.ru,domain,25,credited-by-mirror
a,2025-07-02,ria.ru,domain,34,credited-by-mirror
a,2025-07-02,russian.rt.com,domain,3,credited-by-mirror
a,2025-07-02,tass.ru,domain,28,credited-by-mirror
a,2025-07-03,Telegram: leblorikzov,telegram,70,credited-by-mirror
a,2025-07-03,Telegram: lomovkaa,telegram,56,credited-by-mirror
a,2025-07-03,Telegram: oroszokazigazsagoldalan,telegram,198,credited-by-mirror
a,2025-07-03,Telegram: ostashkonews,telegram,23,credited-by-mirror
a,2025-07-03,Telegram: rusputnikmd,telegram,64,credited-by-mirror
a,2025-07-03,kp.ru,domain,18,credited-by-mirror
a,2025-07-03,lenta.ru,domain,22,credited-by-mirror
a,2025-07-03,ria.ru,domain,28,credited-by-mirror
a,2025-07-03,russian.rt.com,domain,10,credited-by-mirror
a,2025-07-03,tass.ru,domain,70,credited-by-mirror
a,2025-07-04,Telegram: leblorikzov,telegram,75,credited-by-mirror
a,2025-07-04,Telegram: lomovkaa,telegram,41,credited-by-mirror
a,2025-07-04,Telegram: oroszokazigazsagoldalan,telegram,185,credited-by-mirror
a,2025-07-04,Telegram: ostashkonews,telegram,26,credited-by-mirror
a,2025-07-04,Telegram: rusputnikmd,telegram,86,credited-by-mirror
a,2025-07-04,kp.ru,domain,15,credited-by-mirror
a,2025-07-04,lenta.ru,domain,30,credited-by-mirror
a,2025-07-04,ria.ru,domain,29,credited-by-mirror
a,2025-07-04,russian.rt.com,domain,5,credited-by-mirror
a,2025-07-04,tass.ru,domain,52,credited-by-mirror
a,2025-07-05,Telegram: leblorikzov,telegram,88,credited-by-mirror
a,2025-07-05,Telegram: lomovkaa,telegram,50,credited-by-mirror
a,2025-07-05,Telegram: oroszokazigazsagoldalan,telegram,172,credited-by-mirror
a,2025-07-05,Telegram: ostashkonews,telegram,25,credited-by-mirror
a,2025-07-05,Telegram: rusputnikmd,telegram,40,credited-by-mirror
a,2025-07-05,kp.ru,domain,11,credited-by-mirror
a,2025-07-05,lenta.ru,domain,10,credited-by-mirror
a,2025-07-05,ria.ru,domain,8,credited-by-mirror
a,2025-07-05,russian.rt.com,domain,3,credited-by-mirror
a,2025-07-05,tass.ru,domain,26,credited-by-mirror
a,2025-07-06,Telegram: leblorikzov,telegram,77,credited-by-mirror
a,2025-07-06,Telegram: lomovkaa,telegram,56,credited-by-mirror
a,2025-07-06,Telegram: oroszokazigazsagoldalan,telegram,197,credited-by-mirror
a,2025-07-06,Telegram: ostashkonews,telegram,8,credited-by-mirror
a,2025-07-06,Telegram: rusputnikmd,telegram,46,credited-by-mirror
a,2025-07-06,kp.ru,domain,3,credited-by-mirror
a,2025-07-06,lenta.ru,domain,12,credited-by-mirror
a,2025-07-06,ria.ru,domain,8,credited-by-mirror
a,2025-07-06,russian.rt.com,domain,2,credited-by-mirror
a,2025-07-06,tass.ru,domain,10,credited-by-mirror
a,2025-07-07,Telegram: leblorikzov,telegram,67,credited-by-mirror
a,2025-07-07,Telegram: lomovkaa,telegram,66,credited-by-mirror
a,2025-07-07,Telegram: oroszokazigazsagoldalan,telegram,228,credited-by-mirror
a,2025-07-07,Telegram: ostashkonews,telegram,18,credited-by-mirror
a,2025-07-07,Telegram: rusputnikmd,telegram,60,credited-by-mirror
a,2025-07-07,kp.ru,domain,5,credited-by-mirror
a,2025-07-07,lenta.ru,domain,24,credited-by-mirror
a,2025-07-07,ria.ru,domain,31,credited-by-mirror
a,2025-07-07,russian.rt.com,domain,10,credited-by-mirror
a,2025-07-07,tass.ru,domain,20,credited-by-mirror
a,2025-07-08,Telegram: leblorikzov,telegram,91,credited-by-mirror
a,2025-07-08,Telegram: lomovkaa,telegram,43,credited-by-mirror
a,2025-07-08,Telegram: oroszokazigazsagoldalan,telegram,204,credited-by-mirror
a,2025-07-08,Telegram: ostashkonews,telegram,21,credited-by-mirror
a,2025-07-08,Telegram: rusputnikmd,telegram,64,credited-by-mirror
a,2025-07-08,kp.ru,domain,13,credited-by-mirror
a,2025-07-08,lenta.ru,domain,27,credited-by-mirror
a,2025-07-08,ria.ru,domain,23,credited-by-mirror
a,2025-07-08,russian.rt.com,domain,7,credited-by-mirror
a,2025-07-08,tass.ru,domain,45,credited-by-mirror
a,2025-07-09,Telegram: leblorikzov,telegram,92,credited-by-mirror
a,2025-07-09,Telegram: lomovkaa,telegram,54,credited-by-mirror
a,2025-07-09,Telegram: oroszokazigazsagoldalan,telegram,224,credited-by-mirror
a,2025-07-09,Telegram: ostashkonews,telegram,18,credited-by-mirror
a,2025-07-09,Telegram: rusputnikmd,telegram,84,credited-by-mirror
a,2025-07-09,kp.ru,domain,13,credited-by-mirror
a,2025-07-09,lenta.ru,domain,55,credited-by-mirror
a,2025-07-09,ria.ru,domain,41,credited-by-mirror
a,2025-07-09,russian.rt.com,domain,11,credited-by-mirror
a,2025-07-09,tass.ru,domain,62,credited-by-mirror
a,2025-07-10,Telegram: leblorikzov,telegram,76,credited-by-mirror
a,2025-07-10,Telegram: lomovkaa,telegram,49,credited-by-mirror
a,2025-07-10,Telegram: oroszokazigazsagoldalan,telegram,256,credited-by-mirror
a,2025-07-10,Telegram: ostashkonews,telegram,23,credited-by-mirror
a,2025-07-10,Telegram: rusputnikmd,telegram,98,credited-by-mirror
a,2025-07-10,kp.ru,domain,7,credited-by-mirror
a,2025-07-10,lenta.ru,domain,37,credited-by-mirror
a,2025-07-10,ria.ru,domain,21,credited-by-mirror
a,2025-07-10,russian.rt.com,domain,5,credited-by-mirror
a,2025-07-10,tass.ru,domain,25,credited-by-mirror
a,2025-07-11,Telegram: leblorikzov,telegram,66,credited-by-mirror
a,2025-07-11,Telegram: lomovkaa,telegram,57,credited-by-mirror
a,2025-07-11,Telegram: oroszokazigazsagoldalan,telegram,202,credited-by-mirror
a,2025-07-11,Telegram: ostashkonews,telegram,11,credited-by-mirror
a,2025-07-11,Telegram: rusputnikmd,telegram,82,credited-by-mirror
a,2025-07-11,kp.ru,domain,2,credited-by-mirror
a,2025-07-11,lenta.ru,domain,25,credited-by-mirror
a,2025-07-11,ria.ru,domain,3,credited-by-mirror
a,2025-07-11,russian.rt.com,domain,6,credited-by-mirror
a,2025-07-11,tass.ru,domain,28,credited-by-mirror
a,2025-07-12,Telegram: leblorikzov,telegram,64,credited-by-mirror
a,2025-07-12,Telegram: lomovkaa,telegram,64,credited-by-mirror
a,2025-07-12,Telegram: oroszokazigazsagoldalan,telegram,170,credited-by-mirror
a,2025-07-12,Telegram: ostashkonews,telegram,17,credited-by-mirror
a,2025-07-12,Telegram: rusputnikmd,telegram,36,credited-by-mirror
a,2025-07-13,Telegram: leblorikzov,telegram,77,credited-by-mirror
a,2025-07-13,Telegram: lomovkaa,telegram,61,credited-by-mirror
a,2025-07-13,Telegram: oroszokazigazsagoldalan,telegram,187,credited-by-mirror
a,2025-07-13,Telegram: ostashkonews,telegram,21,credited-by-mirror
a,2025-07-13,Telegram: rusputnikmd,telegram,36,credited-by-mirror
