mirror,date,source,source_type,credits,relationship
a,2024-06-01,Telegram: leblorikzov,telegram,127,credited-by-mirror
a,2024-06-01,Telegram: lomovkaa,telegram,2,credited-by-mirror
a,2024-06-01,Telegram: rusputnikmd,telegram,86,credited-by-mirror
a,2024-06-01,kp.ru,domain,44,credited-by-mirror
a,2024-06-01,lenta.ru,domain,103,credited-by-mirror
a,2024-06-01,ria.ru,domain,213,credited-by-mirror
a,2024-06-01,russian.rt.com,domain,11,credited-by-mirror
a,2024-06-01,tass.ru,domain,289,credited-by-mirror
a,2024-06-02,Telegram: leblorikzov,telegram,91,credited-by-mirror
a,2024-06-02,Telegram: rusputnikmd,telegram,78,credited-by-mirror
a,2024-06-02,kp.ru,domain,23,credited-by-mirror
a,2024-06-02,lenta.ru,domain,44,credited-by-mirror
a,2024-06-02,ria.ru,domain,85,credited-by-mirror
a,2024-06-02,russian.rt.com,domain,3,credited-by-mirror
a,2024-06-02,tass.ru,domain,142,credited-by-mirror
a,2024-06-03,Telegram: leblorikzov,telegram,104,credited-by-mirror
a,2024-06-03,Telegram: lomovkaa,telegram,2,credited-by-mirror
a,2024-06-03,Telegram: rusputnikmd,telegram,130,credited-by-mirror
a,2024-06-03,kp.ru,domain,50,credited-by-mirror
a,2024-06-03,lenta.ru,domain,85,credited-by-mirror
a,2024-06-03,ria.ru,domain,239,credited-by-mirror
a,2024-06-03,russian.rt.com,domain,11,credited-by-mirror
a,2024-06-03,tass.ru,domain,595,credited-by-mirror
a,2024-06-04,Telegram: leblorikzov,telegram,101,credited-by-mirror
a,2024-06-04,Telegram: lomovkaa,telegram,3,credited-by-mirror
a,2024-06-04,Telegram: rusputnikmd,telegram,92,credited-by-mirror
a,2024-06-04,kp.ru,domain,59,credited-by-mirror
a,2024-06-04,ria.ru,domain,299,credited-by-mirror
a,2024-06-04,russian.rt.com,domain,9,credited-by-mirror
a,2024-06-04,tass.ru,domain,673,credited-by-mirror
a,2024-06-05,Telegram: leblorikzov,telegram,112,credited-by-mirror
a,2024-06-05,Telegram: lomovkaa,telegram,7,credited-by-mirror
a,2024-06-05,Telegram: rusputnikmd,telegram,150,credited-by-mirror
a,2024-06-05,kp.ru,domain,58,credited-by-mirror
a,2024-06-05,lenta.ru,domain,23,credited-by-mirror
a,2024-06-05,ria.ru,domain,390,credited-by-mirror
a,2024-06-05,russian.rt.com,domain,9,credited-by-mirror
a,2024-06-05,tass.ru,domain,715,credited-by-mirror
a,2024-06-06,Telegram: leblorikzov,telegram,111,credited-by-mirror
a,2024-06-06,Telegram: rusputnikmd,telegram,176,credited-by-mirror
a,2024-06-06,kp.ru,domain,41,credited-by-mirror
a,2024-06-06,lenta.ru,domain,165,credited-by-mirror
a,2024-06-06,ria.ru,domain,333,credited-by-mirror
a,2024-06-06,russian.rt.com,domain,18,credited-by-mirror
a,2024-06-06,tass.ru,domain,626,credited-by-mirror
a,2024-06-07,Telegram: leblorikzov,telegram,100,credited-by-mirror
a,2024-06-07,Telegram: lomovkaa,telegram,2,credited-by-mirror
a,2024-06-07,Telegram: rusputnikmd,telegram,160,credited-by-mirror
a,2024-06-07,kp.ru,domain,70,credited-by-mirror
a,2024-06-07,lenta.ru,domain,240,credited-by-mirror
a,2024-06-07,ria.ru,domain,396,credited-by-mirror
a,2024-06-07,russian.rt.com,domain,19,credited-by-mirror
a,2024-06-07,tass.ru,domain,678,credited-by-mirror
a,2024-06-08,Telegram: leblorikzov,telegram,64,credited-by-mirror
a,2024-06-08,Telegram: rusputnikmd,telegram,76,credited-by-mirror
a,2024-06-08,kp.ru,domain,9,credited-by-mirror
a,2024-06-08,lenta.ru,domain,86,credited-by-mirror
a,2024-06-08,ria.ru,domain,86,credited-by-mirror
a,2024-06-08,russian.rt.com,domain,18,credited-by-mirror
a,2024-06-08,tass.ru,domain,385,credited-by-mirror
a,2024-06-09,Telegram: leblorikzov,telegram,59,credited-by-mirror
a,2024-06-09,Telegram: lomovkaa,telegram,4,credited-by-mirror
a,2024-06-09,Telegram: rusputnikmd,telegram,122,credited-by-mirror
a,2024-06-09,kp.ru,domain,47,credited-by-mirror
a,2024-06-09,lenta.ru,domain,59,credited-by-mirror
a,2024-06-09,ria.ru,domain,305,credited-by-mirror
