mirror,date,source,source_type,credits,relationship
a,2024-03-01,ria.ru,domain,86,credited-by-mirror
a,2024-03-01,tass.ru,domain,59,credited-by-mirror
a,2024-03-02,ria.ru,domain,36,credited-by-mirror
a,2024-03-02,tass.ru,domain,45,credited-by-mirror
a,2024-03-03,ria.ru,domain,43,credited-by-mirror
a,2024-03-03,tass.ru,domain,31,credited-by-mirror
a,2024-03-04,ria.ru,domain,55,credited-by-mirror
a,2024-03-04,tass.ru,domain,43,credited-by-mirror
a,2024-03-05,ria.ru,domain,48,credited-by-mirror
a,2024-03-06,ria.ru,domain,41,credited-by-mirror
a,2024-03-07,ria.ru,domain,33,credited-by-mirror
a,2024-03-08,ria.ru,domain,34,credited-by-mirror
a,2024-03-09,ria.ru,domain,42,credited-by-mirror
a,2024-03-10,ria.ru,domain,38,credited-by-mirror
a,2024-03-11,ria.ru,domain,50,credited-by-mirror
a,2024-03-12,ria.ru,domain,44,credited-by-mirror
a,2024-03-13,ria.ru,domain,38,credited-by-mirror
a,2024-03-14,ria.ru,domain,34,credited-by-mirror
a,2024-03-15,ria.ru,domain,37,credited-by-mirror
a,2024-03-16,ria.ru,domain,29,credited-by-mirror
a,2024-03-17,ria.ru,domain,23,credited-by-mirror
a,2024-03-18,ria.ru,domain,38,credited-by-mirror
a,2024-03-19,ria.ru,domain,52,credited-by-mirror
a,2024-03-20,ria.ru,domain,49,credited-by-mirror
a,2024-03-21,ria.ru,domain,38,credited-by-mirror
a,2024-03-22,ria.ru,domain,38,credited-by-mirror
a,2024-03-23,kp.ru,domain,1,credited-by-mirror
a,2024-03-23,ria.ru,domain,25,credited-by-mirror
a,2024-03-23,russian.rt.com,domain,2,credited-by-mirror
a,2024-03-23,tass.ru,domain,1,credited-by-mirror
a,2024-03-24,Telegram: lomovkaa,telegram,1,credited-by-mirror
a,2024-03-24,ria.ru,domain,26,credited-by-mirror
a,2024-03-25,kp.ru,domain,4,credited-by-mirror
a,2024-03-25,ria.ru,domain,45,credited-by-mirror
a,2024-03-25,russian.rt.com,domain,1,credited-by-mirror
a,2024-03-26,Telegram: lomovkaa,telegram,3,credited-by-mirror
a,2024-03-26,kp.ru,domain,3,credited-by-mirror
a,2024-03-26,ria.ru,domain,53,credited-by-mirror
a,2024-03-26,russian.rt.com,domain,1,credited-by-mirror
a,2024-03-27,Telegram: lomovkaa,telegram,1,credited-by-mirror
a,2024-03-27,kp.ru,domain,5,credited-by-mirror
a,2024-03-27,lenta.ru,domain,13,credited-by-mirror
a,2024-03-27,ria.ru,domain,44,credited-by-mirror
a,2024-03-27,russian.rt.com,domain,4,credited-by-mirror
a,2024-03-27,tass.ru,domain,116,credited-by-mirror
a,2024-03-28,kp.ru,domain,10,credited-by-mirror
a,2024-03-28,lenta.ru,domain,30,credited-by-mirror
a,2024-03-28,ria.ru,domain,103,credited-by-mirror
a,2024-03-28,russian.rt.com,domain,8,credited-by-mirror
a,2024-03-28,tass.ru,domain,170,credited-by-mirror
a,2024-03-29,kp.ru,domain,12,credited-by-mirror
a,2024-03-29,lenta.ru,domain,37,credited-by-mirror
a,2024-03-29,ria.ru,domain,72,credited-by-mirror
a,2024-03-29,russian.rt.com,domain,3,credited-by-mirror
a,2024-03-29,tass.ru,domain,220,credited-by-mirror
a,2024-03-30,kp.ru,domain,2,credited-by-mirror
a,2024-03-30,lenta.ru,domain,6,credited-by-mirror
a,2024-03-30,ria.ru,domain,47,credited-by-mirror
a,2024-03-30,tass.ru,domain,66,credited-by-mirror
a,2024-03-31,Telegram: lomovkaa,telegram,2,credited-by-mirror
a,2024-03-31,kp.ru,domain,7,credited-by-mirror
a,2024-03-31,lenta.ru,domain,7,credited-by-mirror
a,2024-03-31,ria.ru,domain,47,credited-by-mirror
a,2024-03-31,tass.ru,domain,46,credited-by-mirror
albania,2024-03-29,Telegram: Politnavigator,telegram,1,credited-by-mirror
albania,2024-03-29,Telegram: rusembalb,telegram,5,credited-by-mirror
albania,2024-03-29,lenta.ru,domain,1,credited-by-mirror
albania,2024-03-31,Telegram: rusembalb,telegram,2,credited-by-mirror
bosnia-herzegovina,2024-03-29,Telegram: rusembbih,telegram,1,credited-by-mirror
bosnia-herzegovina,2024-03-31,Telegram: rusembbih,telegram,2,credited-by-mirror
bosnia-herzegovina,2024-03-31,ria.ru,domain,1,credited-by-mirror
bulgaria,2024-03-24,Telegram: InfodefBULGARIA,telegram,36,credited-by-mirror
bulgaria,2024-03-25,Telegram: InfodefBULGARIA,telegram,68,credited-by-mirror
bulgaria,2024-03-26,Telegram: InfodefBULGARIA,telegram,67,credited-by-mirror
bulgaria,2024-03-27,Telegram: InfodefBULGARIA,telegram,62,credited-by-mirror
bulgaria,2024-03-28,Telegram: InfodefBULGARIA,telegram,61,credited-by-mirror
bulgaria,2024-03-29,Telegram: InfodefBULGARIA,telegram,65,credited-by-mirror
bulgaria,2024-03-30,Telegram: InfodefBULGARIA,telegram,62,credited-by-mirror
bulgaria,2024-03-31,Telegram: InfodefBULGARIA,telegram,69,credited-by-mirror
car,2024-03-29,Telegram: rusbangui,telegram,3,credited-by-mirror
car,2024-03-30,Telegram: rusbangui,telegram,1,credited-by-mirror
car,2024-03-31,Telegram: rusbangui,telegram,1,credited-by-mirror
croatia,2024-03-23,ria.ru,domain,1,credited-by-mirror
croatia,2024-03-24,ria.ru,domain,1,credited-by-mirror
croatia,2024-03-27,tass.ru,domain,1,credited-by-mirror
croatia,2024-03-29,news-front.su,domain,1,credited-by-mirror
croatia,2024-03-29,ria.ru,domain,1,credited-by-mirror
croatia,2024-03-31,kp.ru,domain,1,credited-by-mirror
croatia,2024-03-31,lenta.ru,domain,2,credited-by-mirror
croatia,2024-03-31,news-front.su,domain,1,credited-by-mirror
croatia,2024-03-31,ren.tv,domain,1,credited-by-mirror
croatia,2024-03-31,ria.ru,domain,1,credited-by-mirror
croatia,2024-03-31,tass.ru,domain,1,credited-by-mirror
cyprus,2024-03-28,kp.ru,domain,1,credited-by-mirror
cyprus,2024-03-28,ria.ru,domain,2,credited-by-mirror
cyprus,2024-03-28,tass.ru,domain,1,credited-by-mirror
cyprus,2024-03-28,tsargrad.tv,domain,2,credited-by-mirror
cyprus,2024-03-29,lenta.ru,domain,1,credited-by-mirror
cyprus,2024-03-29,ria.ru,domain,1,credited-by-mirror
cyprus,2024-03-29,tass.ru,domain,2,credited-by-mirror
cyprus,2024-03-30,ria.ru,domain,1,credited-by-mirror
cyprus,2024-03-30,tass.ru,domain,1,credited-by-mirror
cyprus,2024-03-31,Telegram: lomovkaa,telegram,1,credited-by-mirror
cyprus,2024-03-31,ria.ru,domain,1,credited-by-mirror
cyprus,2024-03-31,tass.ru,domain,2,credited-by-mirror
czechia,2024-03-24,Telegram: InfodefenseCZE,telegram,7,credited-by-mirror
czechia,2024-03-25,Telegram: InfodefenseCZE,telegram,13,credited-by-mirror
czechia,2024-03-26,Telegram: InfodefenseCZE,telegram,18,credited-by-mirror
czechia,2024-03-27,Telegram: InfodefenseCZE,telegram,11,credited-by-mirror
czechia,2024-03-28,Telegram: InfodefenseCZE,telegram,13,credited-by-mirror
czechia,2024-03-29,Telegram: InfodefenseCZE,telegram,10,credited-by-mirror
czechia,2024-03-30,Telegram: InfodefenseCZE,telegram,18,credited-by-mirror
czechia,2024-03-31,Telegram: InfodefenseCZE,telegram,15,credited-by-mirror
denmark,2024-03-23,ria.ru,domain,3,credited-by-mirror
denmark,2024-03-24,Telegram: lomovkaa,telegram,1,credited-by-mirror
denmark,2024-03-24,ria.ru,domain,1,credited-by-mirror
denmark,2024-03-25,kp.ru,domain,1,credited-by-mirror
denmark,2024-03-25,ria.ru,domain,3,credited-by-mirror
