mirror,date,source,source_type,credits,relationship
deutsch,2023-06-23,ria.ru,domain,3,credited-by-mirror
deutsch,2023-06-23,tass.ru,domain,5,credited-by-mirror
deutsch,2023-06-24,ria.ru,domain,5,credited-by-mirror
deutsch,2023-06-24,tass.ru,domain,9,credited-by-mirror
deutsch,2023-06-25,ria.ru,domain,5,credited-by-mirror
deutsch,2023-06-25,tass.ru,domain,7,credited-by-mirror
deutsch,2023-06-26,ria.ru,domain,9,credited-by-mirror
deutsch,2023-06-26,tass.ru,domain,16,credited-by-mirror
deutsch,2023-06-27,ria.ru,domain,12,credited-by-mirror
deutsch,2023-06-27,tass.ru,domain,19,credited-by-mirror
deutsch,2023-06-28,ria.ru,domain,8,credited-by-mirror
deutsch,2023-06-28,tass.ru,domain,36,credited-by-mirror
deutsch,2023-06-29,ria.ru,domain,13,credited-by-mirror
deutsch,2023-06-29,tass.ru,domain,21,credited-by-mirror
deutsch,2023-06-30,ria.ru,domain,12,credited-by-mirror
deutsch,2023-06-30,tass.ru,domain,28,credited-by-mirror
