mirror,date,source,source_type,credits,relationship
a,2024-11-01,Telegram: leblorikzov,telegram,92,credited-by-mirror
a,2024-11-01,Telegram: lomovkaa,telegram,3,credited-by-mirror
a,2024-11-01,Telegram: rusputnikmd,telegram,104,credited-by-mirror
a,2024-11-01,kp.ru,domain,30,credited-by-mirror
a,2024-11-01,lenta.ru,domain,76,credited-by-mirror
a,2024-11-01,ria.ru,domain,46,credited-by-mirror
a,2024-11-01,russian.rt.com,domain,11,credited-by-mirror
a,2024-11-01,tass.ru,domain,144,credited-by-mirror
a,2024-11-02,Telegram: leblorikzov,telegram,65,credited-by-mirror
a,2024-11-02,Telegram: rusputnikmd,telegram,76,credited-by-mirror
a,2024-11-02,kp.ru,domain,5,credited-by-mirror
a,2024-11-02,lenta.ru,domain,23,credited-by-mirror
a,2024-11-02,ria.ru,domain,37,credited-by-mirror
a,2024-11-02,russian.rt.com,domain,4,credited-by-mirror
a,2024-11-02,tass.ru,domain,90,credited-by-mirror
a,2024-11-03,Telegram: leblorikzov,telegram,78,credited-by-mirror
a,2024-11-03,Telegram: lomovkaa,telegram,2,credited-by-mirror
a,2024-11-03,Telegram: rusputnikmd,telegram,384,credited-by-mirror
a,2024-11-03,kp.ru,domain,6,credited-by-mirror
a,2024-11-03,lenta.ru,domain,17,credited-by-mirror
a,2024-11-03,ria.ru,domain,24,credited-by-mirror
a,2024-11-03,russian.rt.com,domain,2,credited-by-mirror
a,2024-11-03,tass.ru,domain,40,credited-by-mirror
a,2024-11-04,Telegram: leblorikzov,telegram,69,credited-by-mirror
a,2024-11-04,Telegram: llordofwar,telegram,6,credited-by-mirror
a,2024-11-04,Telegram: lomovkaa,telegram,24,credited-by-mirror
a,2024-11-04,Telegram: rusputnikmd,telegram,78,credited-by-mirror
a,2024-11-04,kp.ru,domain,41,credited-by-mirror
a,2024-11-04,lenta.ru,domain,55,credited-by-mirror
a,2024-11-04,ria.ru,domain,111,credited-by-mirror
a,2024-11-04,russian.rt.com,domain,33,credited-by-mirror
a,2024-11-04,tass.ru,domain,103,credited-by-mirror
a,2024-11-05,Telegram: leblorikzov,telegram,71,credited-by-mirror
a,2024-11-05,Telegram: llordofwar,telegram,80,credited-by-mirror
a,2024-11-05,Telegram: lomovkaa,telegram,65,credited-by-mirror
a,2024-11-05,Telegram: rusputnikmd,telegram,94,credited-by-mirror
a,2024-11-05,kp.ru,domain,88,credited-by-mirror
a,2024-11-05,lenta.ru,domain,153,credited-by-mirror
a,2024-11-05,ria.ru,domain,192,credited-by-mirror
a,2024-11-05,russian.rt.com,domain,95,credited-by-mirror
a,2024-11-05,tass.ru,domain,332,credited-by-mirror
a,2024-11-06,Telegram: leblorikzov,telegram,73,credited-by-mirror
a,2024-11-06,Telegram: llordofwar,telegram,106,credited-by-mirror
a,2024-11-06,Telegram: lomovkaa,telegram,47,credited-by-mirror
a,2024-11-06,Telegram: rusputnikmd,telegram,100,credited-by-mirror
a,2024-11-06,kp.ru,domain,149,credited-by-mirror
a,2024-11-06,lenta.ru,domain,220,credited-by-mirror
a,2024-11-06,ria.ru,domain,191,credited-by-mirror
a,2024-11-06,russian.rt.com,domain,105,credited-by-mirror
a,2024-11-06,tass.ru,domain,438,credited-by-mirror
a,2024-11-07,Telegram: leblorikzov,telegram,93,credited-by-mirror
a,2024-11-07,Telegram: llordofwar,telegram,81,credited-by-mirror
a,2024-11-07,Telegram: lomovkaa,telegram,43,credited-by-mirror
a,2024-11-07,Telegram: rusputnikmd,telegram,84,credited-by-mirror
a,2024-11-07,kp.ru,domain,115,credited-by-mirror
a,2024-11-07,lenta.ru,domain,177,credited-by-mirror
a,2024-11-07,ria.ru,domain,189,credited-by-mirror
a,2024-11-07,russian.rt.com,domain,69,credited-by-mirror
a,2024-11-07,tass.ru,domain,371,credited-by-mirror
a,2024-11-08,Telegram: leblorikzov,telegram,77,credited-by-mirror
a,2024-11-08,Telegram: llordofwar,telegram,85,credited-by-mirror
a,2024-11-08,Telegram: lomovkaa,telegram,32,credited-by-mirror
a,2024-11-08,Telegram: rusputnikmd,telegram,104,credited-by-mirror
a,2024-11-08,kp.ru,domain,92,credited-by-mirror
a,2024-11-08,lenta.ru,domain,177,credited-by-mirror
a,2024-11-08,ria.ru,domain,228,credited-by-mirror
a,2024-11-08,russian.rt.com,domain,50,credited-by-mirror
a,2024-11-08,tass.ru,domain,315,credited-by-mirror
a,2024-11-09,Telegram: leblorikzov,telegram,81,credited-by-mirror
a,2024-11-09,Telegram: llordofwar,telegram,113,credited-by-mirror
