mirror,date,source,source_type,credits,relationship
a,2024-07-01,Telegram: leblorikzov,telegram,90,credited-by-mirror
a,2024-07-01,Telegram: ostashkonews,telegram,10,credited-by-mirror
a,2024-07-01,Telegram: rusputnikmd,telegram,100,credited-by-mirror
a,2024-07-01,kp.ru,domain,19,credited-by-mirror
a,2024-07-01,lenta.ru,domain,29,credited-by-mirror
a,2024-07-01,ria.ru,domain,63,credited-by-mirror
a,2024-07-01,tass.ru,domain,152,credited-by-mirror
a,2024-07-02,Telegram: leblorikzov,telegram,85,credited-by-mirror
a,2024-07-02,Telegram: lomovkaa,telegram,1,credited-by-mirror
a,2024-07-02,Telegram: ostashkonews,telegram,4,credited-by-mirror
a,2024-07-02,Telegram: rusputnikmd,telegram,112,credited-by-mirror
a,2024-07-02,kp.ru,domain,7,credited-by-mirror
a,2024-07-02,lenta.ru,domain,37,credited-by-mirror
a,2024-07-02,ria.ru,domain,91,credited-by-mirror
a,2024-07-02,tass.ru,domain,168,credited-by-mirror
a,2024-07-03,Telegram: leblorikzov,telegram,88,credited-by-mirror
a,2024-07-03,Telegram: ostashkonews,telegram,9,credited-by-mirror
a,2024-07-03,Telegram: rusputnikmd,telegram,106,credited-by-mirror
a,2024-07-03,kp.ru,domain,10,credited-by-mirror
a,2024-07-03,lenta.ru,domain,29,credited-by-mirror
a,2024-07-03,ria.ru,domain,70,credited-by-mirror
a,2024-07-03,tass.ru,domain,185,credited-by-mirror
a,2024-07-04,Telegram: leblorikzov,telegram,106,credited-by-mirror
a,2024-07-04,Telegram: lomovkaa,telegram,1,credited-by-mirror
a,2024-07-04,Telegram: rusputnikmd,telegram,134,credited-by-mirror
a,2024-07-04,kp.ru,domain,5,credited-by-mirror
a,2024-07-04,lenta.ru,domain,7,credited-by-mirror
a,2024-07-04,ria.ru,domain,28,credited-by-mirror
a,2024-07-04,tass.ru,domain,147,credited-by-mirror
a,2024-07-05,Telegram: leblorikzov,telegram,117,credited-by-mirror
a,2024-07-05,Telegram: lomovkaa,telegram,1,credited-by-mirror
a,2024-07-05,Telegram: ostashkonews,telegram,10,credited-by-mirror
a,2024-07-05,Telegram: rusputnikmd,telegram,112,credited-by-mirror
a,2024-07-05,kp.ru,domain,16,credited-by-mirror
a,2024-07-05,lenta.ru,domain,27,credited-by-mirror
a,2024-07-05,ria.ru,domain,144,credited-by-mirror
a,2024-07-05,tass.ru,domain,308,credited-by-mirror
a,2024-07-06,Telegram: leblorikzov,telegram,87,credited-by-mirror
a,2024-07-06,Telegram: ostashkonews,telegram,1,credited-by-mirror
a,2024-07-06,Telegram: rusputnikmd,telegram,52,credited-by-mirror
a,2024-07-06,kp.ru,domain,6,credited-by-mirror
a,2024-07-06,lenta.ru,domain,14,credited-by-mirror
a,2024-07-06,ria.ru,domain,66,credited-by-mirror
a,2024-07-06,tass.ru,domain,134,credited-by-mirror
a,2024-07-07,Telegram: leblorikzov,telegram,94,credited-by-mirror
a,2024-07-07,Telegram: ostashkonews,telegram,2,credited-by-mirror
a,2024-07-07,Telegram: rusputnikmd,telegram,68,credited-by-mirror
a,2024-07-07,kp.ru,domain,8,credited-by-mirror
a,2024-07-07,lenta.ru,domain,22,credited-by-mirror
a,2024-07-07,ria.ru,domain,53,credited-by-mirror
a,2024-07-07,tass.ru,domain,120,credited-by-mirror
a,2024-07-08,Telegram: leblorikzov,telegram,114,credited-by-mirror
a,2024-07-08,Telegram: ostashkonews,telegram,1,credited-by-mirror
a,2024-07-08,Telegram: rusputnikmd,telegram,106,credited-by-mirror
a,2024-07-08,kp.ru,domain,13,credited-by-mirror
a,2024-07-08,lenta.ru,domain,35,credited-by-mirror
a,2024-07-08,ria.ru,domain,99,credited-by-mirror
a,2024-07-08,tass.ru,domain,242,credited-by-mirror
a,2024-07-09,Telegram: leblorikzov,telegram,102,credited-by-mirror
a,2024-07-09,Telegram: ostashkonews,telegram,13,credited-by-mirror
a,2024-07-09,Telegram: rusputnikmd,telegram,112,credited-by-mirror
a,2024-07-09,kp.ru,domain,16,credited-by-mirror
a,2024-07-09,lenta.ru,domain,27,credited-by-mirror
a,2024-07-09,ria.ru,domain,117,credited-by-mirror
a,2024-07-09,tass.ru,domain,238,credited-by-mirror
a,2024-07-10,Telegram: leblorikzov,telegram,111,credited-by-mirror
a,2024-07-10,Telegram: lomovkaa,telegram,1,credited-by-mirror
a,2024-07-10,Telegram: ostashkonews,telegram,12,credited-by-mirror
a,2024-07-10,Telegram: rusputnikmd,telegram,116,credited-by-mirror
a,2024-07-10,kp.ru,domain,21,credited-by-mirror
a,2024-07-10,lenta.ru,domain,55,credited-by-mirror
a,2024-07-10,ria.ru,domain,130,credited-by-mirror
a,2024-07-10,tass.ru,domain,280,credited-by-mirror
a,2024-07-11,Telegram: leblorikzov,telegram,114,credited-by-mirror
a,2024-07-11,Telegram: lomovkaa,telegram,3,credited-by-mirror
a,2024-07-11,Telegram: ostashkonews,telegram,15,credited-by-mirror
a,2024-07-11,Telegram: rusputnikmd,telegram,124,credited-by-mirror
a,2024-07-11,kp.ru,domain,20,credited-by-mirror
a,2024-07-11,lenta.ru,domain,38,credited-by-mirror
a,2024-07-11,ria.ru,domain,126,credited-by-mirror
a,2024-07-11,tass.ru,domain,251,credited-by-mirror
a,2024-07-12,Telegram: leblorikzov,telegram,104,credited-by-mirror
a,2024-07-12,Telegram: lomovkaa,telegram,4,credited-by-mirror
a,2024-07-12,Telegram: ostashkonews,telegram,5,credited-by-mirror
a,2024-07-12,Telegram: rusputnikmd,telegram,96,credited-by-mirror
a,2024-07-12,kp.ru,domain,17,credited-by-mirror
a,2024-07-12,lenta.ru,domain,46,credited-by-mirror
a,2024-07-12,ria.ru,domain,99,credited-by-mirror
a,2024-07-12,tass.ru,domain,228,credited-by-mirror
a,2024-07-13,Telegram: leblorikzov,telegram,95,credited-by-mirror
a,2024-07-13,Telegram: ostashkonews,telegram,9,credited-by-mirror
a,2024-07-13,Telegram: rusputnikmd,telegram,38,credited-by-mirror
a,2024-07-13,kp.ru,domain,8,credited-by-mirror
a,2024-07-13,lenta.ru,domain,13,credited-by-mirror
a,2024-07-13,ria.ru,domain,34,credited-by-mirror
a,2024-07-13,tass.ru,domain,90,credited-by-mirror
a,2024-07-14,Telegram: leblorikzov,telegram,85,credited-by-mirror
a,2024-07-14,Telegram: oroszokazigazsagoldalan,telegram,2,credited-by-mirror
a,2024-07-14,Telegram: rusputnikmd,telegram,92,credited-by-mirror
a,2024-07-14,kp.ru,domain,2,credited-by-mirror
a,2024-07-14,lenta.ru,domain,14,credited-by-mirror
a,2024-07-14,ria.ru,domain,41,credited-by-mirror
a,2024-07-14,tass.ru,domain,119,credited-by-mirror
a,2024-07-15,Telegram: leblorikzov,telegram,81,credited-by-mirror
a,2024-07-15,Telegram: ostashkonews,telegram,2,credited-by-mirror
a,2024-07-15,Telegram: rusputnikmd,telegram,102,credited-by-mirror
a,2024-07-15,kp.ru,domain,4,credited-by-mirror
a,2024-07-15,lenta.ru,domain,22,credited-by-mirror
a,2024-07-15,ria.ru,domain,70,credited-by-mirror
a,2024-07-15,tass.ru,domain,176,credited-by-mirror
a,2024-07-16,Telegram: leblorikzov,telegram,77,credited-by-mirror
a,2024-07-16,Telegram: ostashkonews,telegram,2,credited-by-mirror
a,2024-07-16,Telegram: rusputnikmd,telegram,118,credited-by-mirror
a,2024-07-16,kp.ru,domain,9,credited-by-mirror
a,2024-07-16,lenta.ru,domain,38,credited-by-mirror
a,2024-07-16,ria.ru,domain,99,credited-by-mirror
a,2024-07-16,tass.ru,domain,205,credited-by-mirror
a,2024-07-17,Telegram: leblorikzov,telegram,53,credited-by-mirror
a,2024-07-17,Telegram: lomovkaa,telegram,2,credited-by-mirror
a,2024-07-17,Telegram: ostashkonews,telegram,2,credited-by-mirror
a,2024-07-17,Telegram: rusputnikmd,telegram,78,credited-by-mirror
a,2024-07-17,kp.ru,domain,17,credited-by-mirror
a,2024-07-17,lenta.ru,domain,41,credited-by-mirror
a,2024-07-17,ria.ru,domain,104,credited-by-mirror
a,2024-07-17,tass.ru,domain,233,credited-by-mirror
a,2024-07-18,Telegram: leblorikzov,telegram,80,credited-by-mirror
a,2024-07-18,Telegram: lomovkaa,telegram,2,credited-by-mirror
a,2024-07-18,Telegram: ostashkonews,telegram,6,credited-by-mirror
a,2024-07-18,Telegram: rusputnikmd,telegram,114,credited-by-mirror
a,2024-07-18,kp.ru,domain,15,credited-by-mirror
a,2024-07-18,lenta.ru,domain,33,credited-by-mirror
a,2024-07-18,ria.ru,domain,84,credited-by-mirror
a,2024-07-18,tass.ru,domain,243,credited-by-mirror
a,2024-07-19,Telegram: leblorikzov,telegram,97,credited-by-mirror
a,2024-07-19,Telegram: ostashkonews,telegram,6,credited-by-mirror
a,2024-07-19,Telegram: rusputnikmd,telegram,80,credited-by-mirror
a,2024-07-19,kp.ru,domain,11,credited-by-mirror
a,2024-07-19,lenta.ru,domain,22,credited-by-mirror
a,2024-07-19,ria.ru,domain,74,credited-by-mirror
a,2024-07-19,tass.ru,domain,216,credited-by-mirror
a,2024-07-20,Telegram: leblorikzov,telegram,103,credited-by-mirror
a,2024-07-20,Telegram: lomovkaa,telegram,2,credited-by-mirror
a,2024-07-20,Telegram: ostashkonews,telegram,1,credited-by-mirror
a,2024-07-20,Telegram: rusputnikmd,telegram,54,credited-by-mirror
a,2024-07-20,kp.ru,domain,6,credited-by-mirror
a,2024-07-20,lenta.ru,domain,8,credited-by-mirror
a,2024-07-20,ria.ru,domain,37,credited-by-mirror
a,2024-07-20,tass.ru,domain,70,credited-by-mirror
