mirror,date,source,source_type,credits,relationship
a,2025-06-01,Telegram: leblorikzov,telegram,87,credited-by-mirror
a,2025-06-01,Telegram: lomovkaa,telegram,32,credited-by-mirror
a,2025-06-01,Telegram: oroszokazigazsagoldalan,telegram,140,credited-by-mirror
a,2025-06-01,Telegram: ostashkonews,telegram,7,credited-by-mirror
a,2025-06-01,Telegram: rusputnikmd,telegram,34,credited-by-mirror
a,2025-06-01,kp.ru,domain,24,credited-by-mirror
a,2025-06-01,lenta.ru,domain,140,credited-by-mirror
a,2025-06-01,ria.ru,domain,171,credited-by-mirror
a,2025-06-01,russian.rt.com,domain,27,credited-by-mirror
a,2025-06-01,tass.ru,domain,173,credited-by-mirror
a,2025-06-02,Telegram: leblorikzov,telegram,62,credited-by-mirror
a,2025-06-02,Telegram: lomovkaa,telegram,32,credited-by-mirror
a,2025-06-02,Telegram: oroszokazigazsagoldalan,telegram,113,credited-by-mirror
a,2025-06-02,Telegram: ostashkonews,telegram,5,credited-by-mirror
a,2025-06-02,Telegram: rusputnikmd,telegram,40,credited-by-mirror
a,2025-06-02,kp.ru,domain,34,credited-by-mirror
a,2025-06-02,lenta.ru,domain,391,credited-by-mirror
a,2025-06-02,ria.ru,domain,286,credited-by-mirror
a,2025-06-02,russian.rt.com,domain,29,credited-by-mirror
a,2025-06-02,tass.ru,domain,396,credited-by-mirror
a,2025-06-03,Telegram: leblorikzov,telegram,77,credited-by-mirror
a,2025-06-03,Telegram: lomovkaa,telegram,44,credited-by-mirror
a,2025-06-03,Telegram: oroszokazigazsagoldalan,telegram,143,credited-by-mirror
a,2025-06-03,Telegram: ostashkonews,telegram,9,credited-by-mirror
a,2025-06-03,Telegram: rusputnikmd,telegram,60,credited-by-mirror
a,2025-06-03,kp.ru,domain,67,credited-by-mirror
a,2025-06-03,lenta.ru,domain,334,credited-by-mirror
a,2025-06-03,ria.ru,domain,302,credited-by-mirror
a,2025-06-03,russian.rt.com,domain,39,credited-by-mirror
a,2025-06-03,tass.ru,domain,356,credited-by-mirror
a,2025-06-04,Telegram: leblorikzov,telegram,66,credited-by-mirror
a,2025-06-04,Telegram: lomovkaa,telegram,58,credited-by-mirror
a,2025-06-04,Telegram: oroszokazigazsagoldalan,telegram,146,credited-by-mirror
a,2025-06-04,Telegram: ostashkonews,telegram,5,credited-by-mirror
a,2025-06-04,Telegram: rusputnikmd,telegram,64,credited-by-mirror
a,2025-06-04,kp.ru,domain,95,credited-by-mirror
a,2025-06-04,lenta.ru,domain,386,credited-by-mirror
a,2025-06-04,ria.ru,domain,363,credited-by-mirror
a,2025-06-04,russian.rt.com,domain,58,credited-by-mirror
a,2025-06-04,tass.ru,domain,523,credited-by-mirror
a,2025-06-05,Telegram: leblorikzov,telegram,56,credited-by-mirror
a,2025-06-05,Telegram: lomovkaa,telegram,30,credited-by-mirror
a,2025-06-05,Telegram: oroszokazigazsagoldalan,telegram,136,credited-by-mirror
a,2025-06-05,Telegram: ostashkonews,telegram,3,credited-by-mirror
a,2025-06-05,Telegram: rusputnikmd,telegram,44,credited-by-mirror
a,2025-06-05,kp.ru,domain,89,credited-by-mirror
a,2025-06-05,lenta.ru,domain,402,credited-by-mirror
a,2025-06-05,ria.ru,domain,336,credited-by-mirror
a,2025-06-05,russian.rt.com,domain,55,credited-by-mirror
a,2025-06-05,tass.ru,domain,472,credited-by-mirror
a,2025-06-06,Telegram: leblorikzov,telegram,81,credited-by-mirror
a,2025-06-06,Telegram: lomovkaa,telegram,43,credited-by-mirror
a,2025-06-06,Telegram: oroszokazigazsagoldalan,telegram,117,credited-by-mirror
a,2025-06-06,Telegram: ostashkonews,telegram,7,credited-by-mirror
a,2025-06-06,Telegram: rusputnikmd,telegram,52,credited-by-mirror
a,2025-06-06,kp.ru,domain,80,credited-by-mirror
a,2025-06-06,lenta.ru,domain,365,credited-by-mirror
a,2025-06-06,ria.ru,domain,244,credited-by-mirror
a,2025-06-06,russian.rt.com,domain,50,credited-by-mirror
a,2025-06-06,tass.ru,domain,309,credited-by-mirror
a,2025-06-07,Telegram: leblorikzov,telegram,93,credited-by-mirror
a,2025-06-07,Telegram: lomovkaa,telegram,51,credited-by-mirror
a,2025-06-07,Telegram: oroszokazigazsagoldalan,telegram,106,credited-by-mirror
a,2025-06-07,Telegram: ostashkonews,telegram,5,credited-by-mirror
a,2025-06-07,Telegram: rusputnikmd,telegram,26,credited-by-mirror
a,2025-06-07,kp.ru,domain,26,credited-by-mirror
a,2025-06-07,lenta.ru,domain,142,credited-by-mirror
a,2025-06-07,ria.ru,domain,209,credited-by-mirror
a,2025-06-07,russian.rt.com,domain,25,credited-by-mirror
a,2025-06-07,tass.ru,domain,174,credited-by-mirror
a,2025-06-08,Telegram: leblorikzov,telegram,80,credited-by-mirror
a,2025-06-08,Telegram: lomovkaa,telegram,39,credited-by-mirror
a,2025-06-08,Telegram: oroszokazigazsagoldalan,telegram,122,credited-by-mirror
